SARS-CoV-2_L2FC,padj_SARS-CoV-2
KCNIP2,-0.288793802,0.7052292516
GEMIN2,-0.0913074583,0.8893263487
SPATA19,-0.2033261168,1
TEKT5,-0.2886411208,1
VPS33B,0.0848578146,0.7905393232
EIF3D,0.1562606965,0.2977176389
MRPS7,0.3071924419,0.1092015615
SOCS2-AS1,-0.1092627082,1
FBXO47,-0.0593832788,1
FITM2,-0.0515054113,0.9529315645
MAPK7,0.1875797991,0.6582481269
ZNF541,0.1302723948,1
BBS7,-0.1009063271,0.7522938136
CHTOP,0.1057429988,0.7062204704
ZNF233,-0.1876609004,1
MPC2,-0.2799945446,0.4628693785
HADH,0.1716177948,0.5337806659
ACTA2,-0.1459865474,0.7090177409
PTGES3L,0.1092833383,1
ZNF205-AS1,0.107062868,1
ARL4D,0.0032069825,0.9949466711
MNF1,-0.3394323217,0.0703620803
PYY,0.0954887681,1
GRIA4,0,1
AGA,-0.2351315253,0.4304662621
MICALL1,0.0285616003,0.9341843716
CDK9,0.2712235074,0.2289460312
TRIM41,-0.1573902386,0.4969589891
RNF5P1,-0.1650431509,1
OTOA,0,1
PIGT,0.1107579817,0.7094172366
SLC24A3,-0.0865370854,1
LOC100127888,-0.0236434191,1
CCDC147,-0.091266935,0.9291777413
ATAD3A,0.3331978082,0.314199764
NSUN4,0.0286111724,0.9428681122
FKBP7,-0.1204389549,0.8895627926
MARCH1,-0.0621644362,1
RANBP17,-0.4142766346,0.4520111901
GOLM1,-0.1045397259,0.5830830664
HHIPL2,-0.091848933,1
C22orf43,0.3869692903,1
SHKBP1,0.0972479764,0.8463161078
MED17,-0.1098976241,0.7784986342
FAM90A25P,-0.0428080716,1
MASP1,0.0018824638,1
TBX4,0,1
IDO2,0,1
ATXN7L3,0.1302057268,0.5385610598
HPS6,0.0841049597,0.872385373
STAC,-0.1247435303,0.8850802499
CRYL1,0.0422703421,0.9417923836
CD320,0.1602035088,0.7365112359
GXYLT2,-0.0294127963,0.9737004877
ZNF114,-0.3801095409,1
LRRC37A6P,0.0852342162,1
NPC1L1,-0.031239275,1
PKP1,-0.1349047607,0.1807755245
RERE,0.0125788788,0.9758344836
NBPF10,-0.0395348164,0.9111710146
SNAPC3,-0.034058553,0.9346962039
TM4SF19,0.0450816015,1
RANGRF,0.1175174002,0.7943108607
RPF1,0.0942837891,0.8053763539
NOMO1,0.1199982577,0.4968836988
TBX19,-0.2046800918,0.737469616
BRAP,0.0369637166,0.9291777413
GMIP,0.1062923259,0.7942483659
MDH2,0.2356816314,0.0917185335
ZNF385B,-0.0498526551,1
COPS5,-0.0683929139,0.8587882071
AKR1B10,-0.2269962791,0.3511430249
DDR1,0.265262825,0.0581528814
ZNF611,-0.1209929651,0.8835784833
ABCA9,-0.1210665797,0.898993251
NSMCE1,0.1564484434,0.6194128227
POP4,-0.1668504257,0.53481488
TRAPPC9,0.0799198698,0.864910086
CRYZ,-0.1722427696,0.5385533179
KCNK15,0.3666470529,1
MME,-0.5890683526,0.0753137663
FAM117B,-0.1175962665,0.8573524748
TMEM184B,0.1217872436,1
CPNE2,0.164191374,0.619063656
C12orf66,-0.1947382044,0.7325391543
CRAMP1L,0.0498949844,0.896983723
PRRT4,0.0021612354,1
ZFHX4,-0.0997065261,0.8893263487
YIF1B,-0.0409184945,0.9433537196
OVOL3,0,1
MIA2,-0.0428080716,1
HIST1H3I,0.0450816015,1
ATP5L2,-0.0593217313,1
KIT,-0.2110753244,1
C11orf34,0,1
HTRA4,0.2872634132,1
TMEFF1,0,1
LHX1,-0.2377536919,1
MIR339,-0.0428080716,1
MMP16,0.0456635501,1
ANKRD20A12P,-0.031239275,1
DISC1,-0.0352155569,1
MIR5581,-0.1510137167,1
CDH19,-0.2696974634,1
CLEC5A,0.0450816015,1
HIST1H2AB,-0.0407475915,1
MIR1915,0,1
PBOV1,0,1
CCDC177,0.0450816015,1
CNNM1,-0.1892185005,1
SNORA29,-0.0159644602,1
ANKRD45,-0.3410271291,1
THNSL2,-0.1496749954,0.7720726331
TFR2,0.2491481711,1
TMEM155,-0.031239275,1
C12orf68,0.057110996,1
GPR18,0,1
SNORD114-1,0,1
LOC100132781,0,1
LRFN4,0.0197019524,0.983592062
PGM5,0.1754869358,1
LOC729020,-0.0055254709,1
PAF1,0.2498291515,0.0542484597
CLEC18A,0.1671980009,1
ZNF816,-0.1319350798,0.799211357
IQCB1,-0.201407273,0.5001879243
SERPINF1,-0.1346622524,0.6000685416
TRAPPC3,-0.0112692525,0.9765044926
SNORD19,0.0724316826,1
RBM26,0.1320258961,0.4054357459
VDR,0.1908801644,0.3465930239
PRKCSH,0.1241900452,0.6651917158
LOC100130691,-0.3996706153,0.5340613575
SMARCB1,0.1591254776,0.4606044466
C9orf123,-0.0452545342,0.9062315161
NADKD1,0.0101970044,0.9873325622
GLRX5,-0.2013577587,0.4988578639
ANKRD46,0.1281291944,0.855484044
FSTL4,-0.2446506653,1
AP1S1,0.0699572015,0.8110650114
EIF3H,-0.040831686,0.8254040605
PPM1H,-0.4479874647,0.1943231458
N6AMT2,-0.25290719,0.699375157
MIR4523,0.036392744,1
SNORD23,-0.0917144236,1
PEX16,0.1123649803,0.8639380274
LOC100507501,0.2898468748,0.7124546817
ST6GALNAC4,0.163406724,0.7419963509
ZNF493,-0.4776022022,1
KCNJ8,-0.0428080716,1
CCSAP,-0.1962363388,0.5384513637
ARMC1,-0.1683321828,0.6593729372
MAP7,0.0042997045,0.9907170101
DDX43,-0.0716208304,1
ZNF221,-0.1170124472,0.8924304963
GRB2,0.1029637091,0.5389576047
CLK3,0.2017318654,0.134783107
MTO1,0.0371703475,0.9389671265
CDC16,-0.0746001679,0.7664093264
AQP7P1,0.2079073395,1
CHMP1A,0.0707005348,0.8519085391
PHF6,-0.2430167049,0.371355066
NAT1,-0.132189048,0.8130678599
ST6GALNAC6,0.0937566568,0.7826179285
CIAPIN1,0.1509719224,0.5486511533
WDR16,0,1
KCNJ1,0.1026953378,1
LOC643355,0.0195616224,1
C2orf48,-0.0447319424,1
YTHDF1,0.0282651355,0.937085018
BRSK2,0.008828119,1
PRPF18,0.0162738314,0.9661589201
RNF34,-0.2635974312,0.2334350885
SPG21,-0.2324394246,1
EID3,0.2189810133,1
PLA2R1,-0.0451040568,0.9258037953
SEMA4F,-0.043160404,0.9248621335
APC2,-0.457546197,1
FIBCD1,0.3090952047,0.6831181798
RBKS,0.1578130358,0.866202385
MRPS36,0.0453213904,0.9428681122
ATP1B3,-0.0996500384,0.7522564439
TMEM231,0.1924811748,0.737469616
C2CD4D,-0.1022595882,1
MIPOL1,-0.1881468468,0.6811607463
PHF8,-0.0638579582,0.8469060307
ACO2,0.1452489744,0.5010427568
AGT,0,1
C11orf86,0,1
GDI1,0.1928612815,0.2672190842
SMAP1,-0.1694197804,0.5576097121
BCKDHA,0.116911142,0.7522938136
RNF7,0.0871502955,0.7757550692
BANK1,-0.2480917143,0.7362376428
FAM114A2,-0.1132375253,0.6802556582
ZFYVE20,-0.0157980064,0.9726969778
SDHAP2,0.0989461651,0.8073247644
LOC100009676,0.3502124242,0.5866260936
PHB,0.1912508321,0.4112720805
FAM175B,-0.0103038745,0.9835845295
MIR635,0.0497424648,1
LRRC61,0.3491171746,0.4648009269
CYP4V2,-0.0980737428,0.8893263487
SCYL1,0.102672628,0.8100631613
PDCL3,0.1626607471,0.5440543094
FAM129B,0.2306719275,0.3392621877
SNORD63,-0.0871884843,1
FXYD1,0.0206293253,1
IL1RAPL2,-0.0357573742,1
ZAN,0.078746458,1
LOC100505676,0.0011986614,1
SASH3,0,1
UBE2D2,-0.2566614869,0.1881706538
AK8,0.0461404884,1
ZC3H10,0.0771416239,0.9113260645
TIMM17B,0.036424717,0.9328160028
PVT1,-0.0437651943,0.9433553957
MANF,0.1804870379,0.3268208489
NAA60,0.0323334519,0.9417923836
MLLT6,0.1100469194,0.7422209775
SLC25A43,-0.0703111937,0.891088257
DNAJC11,0.2319171465,0.2126945822
CCDC146,0.1700533264,0.7522054484
C10orf67,0.009047965,1
KCNE1L,-0.551256974,1
SDHA,0.1434210618,0.4648009269
C9orf3,-0.0429718809,0.9224378285
CDR1,0,1
ZP1,0,1
GNAL,-0.0736955645,0.8143217256
LARGE,-0.0619469174,0.9278491259
DHX29,-0.2678085706,1
IMPG2,-0.2756485283,0.7340324107
SEPHS2,-0.1509349629,0.5198873261
PARVA,0.0285328315,0.9376043161
COX10,-0.1269935496,0.7880923711
TRMT10A,0.15800951,0.6591014952
LOC100144603,0.1324337692,1
RBM39,-0.021610233,0.9265442048
RMRP,0.1046087739,1
FAM229A,0.1217918186,1
BPHL,0.0438514577,0.9412138456
OPRL1,-0.1273219346,0.8924304963
LOC729970,-0.2638330969,1
WWP2,0.0880698535,0.7553928737
GRIK2,0.1401520066,1
PSMA7,0.1644834478,0.425356875
ALX3,0.0421668946,1
COG7,-0.0436325131,0.9297164847
PADI2,0.4085786525,0.3152315482
MIR3960,0,1
DYNC2LI1,-0.0057505745,0.9909025627
LOC729683,0.1859067816,1
SYCP2L,-0.1573992552,0.8582219667
FUCA2,-0.0241895969,0.9534721849
LIPH,0.271781564,0.2713157328
GNA11,0.0884935321,0.811440862
ADIPOR1,0.0999228102,0.6246503327
ZFAND4,-0.2942038577,0.6842972734
SF3B14,-0.0516469558,0.8318654126
ZKSCAN3,-0.0330056405,0.9618636429
LINC00571,-0.1132997422,1
LOC285548,-0.0325439085,1
CFHR3,0.0950651299,1
AHCY,0.0001526143,0.9997732213
DOCK11,-0.3870112802,0.5750821657
PPIE,0.0168099305,0.9743966531
PGM2,-0.1796947909,0.405993222
SERPIND1,-0.165432345,1
MRPS28,0.1141128372,0.7722493335
DRG1,0.1190613069,0.7338615051
SDHD,0.0020429859,0.9959357426
ZNF30,0.3186281892,0.5983705506
DOCK8,-0.1921170482,0.6658807753
RPS16,-0.0398176066,0.902550706
NPLOC4,0.2206843487,0.2005292098
CCDC120,0.106987429,0.7325391543
ZBTB8OS,-0.0392377923,0.9389671265
LINC00184,0.0055361221,1
DCST2,-0.0033694583,1
EXOC1,-0.2350271451,0.4512176817
IL10RB,-0.0863204162,0.8234383423
RPS11,0.1945554238,0.13644517
NECAP1,-0.0521831256,0.8893085969
RALGPS1,-0.4112707803,0.3789202527
STRN4,0.0766062275,0.8485387246
C5,0.0500790987,1
ARSE,-0.4308341393,1
GYG2,-0.0331775045,1
RFPL3S,-0.2829940926,0.7183098403
ALG6,-0.2872912045,0.6873078739
VWCE,-0.2861873365,0.7183098403
ASPHD1,0.1167161207,0.9020992914
VPS51,3.42E-05,0.9999307194
ESYT2,-0.0870132007,0.7499113074
HDAC5,-0.1589442614,0.7593211122
PRPH2,0.05209032,1
KCTD15,-0.0075328963,0.9893300767
CCT7,0.276016774,0.0518523567
PSMB2,0.0876753254,0.7703345972
AGPAT3,0.0247269546,0.9317114528
KRI1,-0.0020848923,0.9955140075
HAUS2,-0.0719696644,0.8752817645
RAD23B,-0.0457090167,0.8677748185
PSMD6,0.0424215019,0.8841801518
FANK1,-0.1123888375,0.7818425234
SLC38A5,0.1616233556,0.4878471415
SPTAN1,0.1278338689,0.2579454062
PSEN2,0.1231489003,0.7522938136
KIF27,-0.1194541761,0.8392153916
PLEKHB1,-0.3585278387,1
PDCD2L,0.2650923323,0.5867758081
HIST1H4B,0.0023219043,1
CXCR6,0,1
HNF1B,0.2285146839,1
C3orf72,-0.0303249215,1
PTPRM,0.0147578336,0.9663280896
LOC554206,0.0035527943,1
L3MBTL3,-0.0653697392,0.8892552813
STXBP4,-0.2089567695,0.6873078739
N4BP2L2,-0.2554327766,0.3696741486
CLP1,-0.0706773781,0.8788364373
SNORA18,-0.2291429675,0.7522938136
HABP4,-0.0360232586,0.9439100405
KLHL24,-0.2885608844,0.291362147
DESI1,0.1865713776,0.2376110241
TESC,0.0195616224,1
SLC28A2,-0.0447319424,1
POTEF,0.036392744,1
GPR179,-0.138990525,1
KIAA0319,0.3695745815,1
WNT8B,-0.0750006719,1
KCNJ9,0.0505328034,1
EFCAB14-AS1,-0.0485444933,1
BCL6B,-0.0428080716,1
NBEAP1,0.0354546962,1
MIR568,0,1
SCGB2B2,-0.0852020814,1
PSG3,-0.0428080716,1
NYAP2,0.0826835628,1
FAM186A,0,1
ARMC3,0.0195616224,1
SPATS1,0,1
MUC5B,0.1036401511,1
CNTFR,-0.0428080716,1
ARHGAP15,-0.0354033803,1
CACNA1H,0.1998445436,1
HCRTR1,0,1
RIMBP3,0.1083825561,1
NAPSB,0,1
STXBP5L,0,1
SLC35F1,0,1
LOC391322,-0.0428080716,1
E2F5,-0.3113947376,0.6488718133
CTAGE11P,0.2288542687,1
OMG,0,1
RIMS1,-0.0350426868,1
MYADML2,0,1
DLL3,0.0268423135,1
SMOC1,0.1629096073,0.6408583724
LSM5,-0.0338287008,0.9469308404
ASF1A,-0.0976269882,0.8215788048
MKKS,0.1416272921,0.4954002181
BHLHB9,-0.2764622457,0.4817979537
BMP1,0.0281009446,0.9426177912
STK17B,-0.3183312303,0.2074113385
ALDH9A1,-0.125537509,0.653188205
PCDHB6,-0.1600632621,1
MEMO1,0.0113744128,0.9795462453
MAP1A,-0.4606506159,0.3291242995
ZFP37,0.4621802479,0.4518835722
PACS1,0.0134492851,0.9714703677
REEP5,-0.0093296327,0.9770208274
TRPM7,-0.3071566394,0.3024073525
CBWD2,0.0357896474,0.9325685294
ZNF510,0.1247017787,0.7981433164
PTPN2,-0.1555101716,0.6306251405
STL,-0.0488410919,1
SERPINA5,-0.1081533754,1
NOVA1,-0.21745048,1
ACVR1B,0.056234894,0.8666505697
IRAK1,0.148455462,0.5830830664
PRR16,-0.2166025586,1
FAM27C,0,1
EFNA2,-0.0614276692,1
TAPT1-AS1,-0.0254774273,0.9813100492
LOC399744,-0.06761354,0.9439100405
C6orf52,-0.1734276771,0.8507698333
JAM2,-0.1521574974,1
SNORD38A,-0.0422412208,1
UBE2E3,-0.0272722379,0.9431158845
ATP4A,-0.0008149813,1
MIR5587,0.0826835628,1
FSTL5,0,1
EGLN2,0.1701322732,1
ARPC1B,0.0269138575,0.9395161163
MTERFD1,-0.1323073899,0.8542499517
ETFB,0.1033352537,0.77811798
STEAP1,0.1570369003,0.7365112359
DLAT,0.017129278,0.9762484474
TNS4,0.1368081053,0.3717776321
LOC100505875,-0.0490937509,1
CIDEA,-0.1416635072,1
PRMT3,0.0143450948,0.9804901384
C12orf4,-0.1965792891,0.455602915
MCM3AP-AS1,0.1525032059,0.859747817
IL18,-0.2444077552,1
ATP5A1,0.2381356459,0.120112834
NT5DC1,-0.1083767463,0.7980568444
ITGB4,0.0741222756,1
DMAP1,0.0185740234,0.9682118504
ROR1,0.2688769362,0.739774525
LOC646471,0.1446773916,1
MAGI1,-0.0869816453,0.8485387246
GPR144,0.0456635501,1
INPP5A,0.0457769638,0.9280723468
DHX8,0.1611661913,0.5749495696
SLC17A5,-0.1793603444,1
SDR9C7,0.0028253152,1
IKBKG,0.2619734618,0.4888059605
CDK19,-0.367816927,0.1344050415
FAM131B,-0.6542542135,0.2022642155
COL1A1,-0.1718643613,1
ZMYM6,-0.2663377637,0.202705261
TRO,0.1866836305,1
ZP4,0.0195616224,1
SYCE1,0.062326863,1
PKNOX2,0.1203610952,1
ICAM2,0.4773792751,1
IRX6,-0.0462302046,1
MIR149,0,1
GTF3C5,0.1908478695,0.3263310505
LOC730091,0.0418811352,0.9590414398
KRBOX1,-0.063244312,0.9519921153
ECHDC1,-0.253462075,0.2167074085
TUBB6,0.223544886,0.1837456656
MARCKS,-0.2862044602,1
DNAJB12,0.2534850999,0.2334350885
SNORA12,0.0626697854,1
DPCD,-0.0161308682,0.976273966
EFCAB13,-0.1086246236,1
METTL5,-0.3345443506,1
HNRNPM,0.0801509183,0.7121958234
ONECUT3,0.0695537511,1
LINC00514,0.05209032,1
PEX26,0.0052461342,0.989115022
MCTS1,-0.3192376914,0.2084051308
GTPBP10,0.08200832,0.8769239933
CCT2,0.1603244464,0.6136188482
PDCD5,0.1733545131,0.3251866413
ILKAP,0.168728974,0.7357913049
RASL10A,0.0195616224,1
SRD5A2,0.0788545031,1
EPO,-0.1498462784,1
SIAH3,0.0833195244,1
PRG1,0,1
LHFPL3-AS2,0.0456635501,1
HEPACAM2,0.0023219043,1
LINC00282,0.012416268,1
RGS4,-0.2043262026,1
PTENP1,0.1288802262,1
APEH,0.2863947758,0.1617595168
BCRP3,0.0280193105,1
TADA3,0.0150225453,0.9725897099
SOAT1,-0.2843848377,0.1652169259
KCMF1,0.0347883695,0.891088257
DLG1,-0.0943330544,0.8064448676
MRPL42,-0.0374736745,0.9402611455
SPRYD3,0.1787173347,0.5038005967
BLVRA,0.0709819551,0.8505417402
TREML1,-0.0631695428,1
TMEM198,-0.2298840293,0.7742972584
LOC100128531,-0.1313890265,1
TBC1D25,-0.2089339099,0.6052526049
SLC9A5,0.063969434,0.9298966235
SNAI3,-0.1130188274,1
ABCA5,-0.3078281413,0.5251380941
RPAP3,-0.1151565928,0.6431696792
NYNRIN,-0.0868840328,0.7393682654
GIPC2,-0.5025024299,1
ZER1,0.1589823087,0.6662666577
NPC2,-0.0038332642,0.990549599
SYNC,-0.1105413275,0.737469616
SYCP3,0.540819502,1
MIR320A,0.036392744,1
SUPT5H,0.1242985959,0.4463519309
LOC286367,0.0739435402,1
CD63,0.0805435363,0.6096715433
C11orf49,-0.0401534876,0.9132084192
ARIH2OS,0.163525332,1
GLRX3,-0.0652899866,0.8511635298
ASH2L,-0.2040539807,0.2543685197
EPHB4,0.2309586894,0.2911499943
TBX18,0.1286828049,0.880488875
PIP5K1B,-0.1774659746,1
RNF25,0.2189774336,0.3698982606
GNRH1,-0.0914579799,0.9282536298
MRPL47,0.1011268758,0.8407522868
CHMP1B,-0.173927336,1
PSMG2,-0.0736629358,0.866202385
FASTKD1,0.0251997165,0.967757693
PSMD10,-0.0842909412,0.8389533582
NWD1,-0.37597105,0.4693522484
TMED1,0.1835077178,1
CFP,-0.1188706851,1
GAPDH,0.0680288688,0.76328931
MGST1,-0.1817677943,0.4693522484
CDK2AP1,0.023839026,0.9536488277
HINFP,0.1002941984,0.7857230132
POLR1D,-0.0202161249,0.9512081293
TPRKB,-0.1906859632,1
ZNF407,0.024171489,0.9642208469
APMAP,-0.0170839921,0.9618636429
DDX54,0.2300446421,1
FAM172A,-0.3328111352,0.3691281219
ABCE1,-0.1810024583,1
POMT2,0.2072981338,0.3465930239
LMO7,0.156556946,0.1978122427
NBPF3,0.1569873342,0.6929688709
MED7,0.0254195178,0.9737093018
LOC646719,-0.0803884465,0.9376043161
NUDC,0.242048189,0.0607534936
GAB1,-0.229144858,0.3681190791
KLHDC10,-0.0328560493,0.929678855
ESR1,-0.2558399731,0.7493061113
NKPD1,-0.1868506582,1
CLPB,0.2374876489,0.4703171615
C5orf51,-0.1547365907,1
RPAP2,-0.1443572628,0.7989599184
SERINC4,0.1982197651,1
EPHB2,0.0252798626,0.9439100405
NUDT10,-0.1858464529,0.8389663588
VEGFB,-0.0340904538,0.9504834573
SLX4,-0.0316006915,0.9431158845
EIF4EBP3,-0.3322328348,1
TTC27,0.1360565802,0.7120022635
INTS4,-0.0131735727,0.9795462453
TCAP,-0.1828019846,1
LOC100131434,-0.2869382486,0.7183098403
CCNJL,0.2458256551,0.4341987016
NTSR1,0.0450816015,1
KCNN1,0.0661300831,1
CDH18,-0.1337332712,1
PTGDR2,-0.0998977252,1
PTGER4P2-CDK2AP2P2,0.0006952273,1
LOC100499227,0.0645397551,1
PDZD9,-0.0447319424,1
KCNMB2-IT1,0.0130518883,1
STK31,-0.1429349459,1
FGF8,0.05209032,1
FAM19A3,-0.0055254709,1
CAPN9,-0.3294596841,1
MANSC4,0,1
ASB9P1,0,1
RPS6KA2-IT1,-0.031239275,1
SNORD114-10,0,1
AQP7P3,0.104140402,1
WEE2,0,1
OR2C1,0,1
LIPJ,0.036392744,1
CDKL4,0.0195616224,1
PKHD1L1,0,1
ZNF180,-0.4193151774,0.325206587
VWA8-AS1,0.0073029961,1
PLAA,0.0721860766,0.8397725876
ITM2C,0.0068434326,0.9843520732
RBBP8,-0.0470200531,0.8893085969
DRD5,0,1
GGH,-0.0278564899,0.9661589201
SLC24A5,0.0450816015,1
SLC26A8,-0.1734807701,1
ASPN,0,1
CLLU1,-0.0741060696,1
TBRG1,0.0632777098,0.8305571607
CAPRIN1,-0.0810355246,0.7365112359
MICU1,-0.1419481163,0.6214789303
LSM11,0.1743958917,0.7961290515
CLGN,-0.1075024517,1
ZNF474,-0.2523167521,1
MIR4664,0.0853815806,1
KRT5,-0.1211162466,0.2299715362
PLXND1,0.1832802141,1
BMP3,-0.3477238088,1
RFX7,-0.0206758682,0.9502496662
CLEC18C,-0.0568665068,1
PMS2CL,0.2343860016,0.681999924
ASAH2,0.1047652944,1
BAIAP2L1,0.0305707601,0.9155766932
ZNF775,0.0040537188,0.9969632666
GTF2IRD2B,0.1119960469,0.90846723
SNAP23,0.0693137819,0.8371962267
UFSP2,0.0808416313,0.8281984008
TTC17,-0.1318281467,0.4859873414
SRL,-0.1520618896,1
C15orf54,0.0450816015,1
SAMD3,0.0028253152,1
SLC26A5,0,1
PRKAG2-AS1,0.0450816015,1
CCDC11,-0.2402079277,0.6409771263
IGSF11,-0.0605878197,0.9546367043
SLC25A14,-0.1009170522,0.8788364373
ALG1L,-0.4140531674,1
HYLS1,-0.1586389424,0.8478721324
FKBP3,-0.1621867688,0.4855292199
RAB11FIP3,0.1295920121,0.7477290625
KIAA1324,-0.2769361872,0.728191917
KRT36,0.036392744,1
CCDC135,0.012416268,1
ZNF534,0.0695509999,1
ALB,0.036392744,1
HHATL,0.0195616224,1
HAPLN4,0,1
HLA-DOA,-0.0693454746,1
C5orf48,-0.0447319424,1
SLC6A3,0,1
PNLIP,0.0788545031,1
KRT38,0,1
FABP4,0.2331868757,1
PAK7,-0.4709182621,0.4439543645
CHRNA4,0,1
LY6G6F,0,1
LOC100133050,0.0006952273,1
SSTR3,0,1
RSPH6A,-0.0447319424,1
FEV,0,1
KRT35,0,1
RASL12,-0.0568665068,1
CCR3,-0.2526283531,1
C1orf105,-0.0428080716,1
SCUBE1,0,1
SLC6A4,0,1
CD3E,0.0833195244,1
MOBP,0.0456635501,1
OR52N2,0,1
IFNA5,0,1
ALLC,0,1
CAPN11,-0.0428080716,1
TIE1,0,1
C11orf42,0,1
PCBP3,0.1539253633,1
LOC285758,0,1
CHRM5,0.0456635501,1
TRIM55,-0.2814919663,1
ERAS,0,1
CCDC38,0,1
EIF3IP1,0.0023219043,1
C10orf82,0,1
PDC,-0.0829284936,1
FAM155A,0.0195616224,1
SIT1,0,1
FHL5,0,1
TMEM196,0,1
DMGDH,-0.1280025817,1
SNX20,-0.0577844176,1
TDRD5,0,1
ANKRD34B,0.0450816015,1
GNAZ,-0.031239275,1
SLC30A10,0.072876006,1
KLHL10,-0.0428080716,1
SCN4A,0,1
FSD2,0.05209032,1
DUXA,0,1
AMY2A,-0.0114274896,1
SMCR5,0,1
PIK3CG,0,1
KRT72,-0.0568665068,1
TMEM145,0,1
NBPF7,0,1
RIPPLY1,0.0195616224,1
AFF3,-0.1683684447,1
HMGCLL1,-0.0200682739,1
SLC7A11-AS1,0.0853328093,1
HCRT,0,1
FAM182A,0,1
NXPE4,0,1
LOC147093,0.0456635501,1
TPO,0,1
XKR4,-0.0428080716,1
TMEM31,0.0127478797,1
INSL5,0,1
MEGF10,0.0169455909,1
CYTIP,-0.0568665068,1
FAM41C,0.0129244493,1
EBLN1,0,1
MOGAT3,0,1
LOC256880,-0.2068244496,1
KRTAP5-10,0.036392744,1
OR52E6,0,1
IGFL4,0,1
SLC32A1,0,1
VIPR2,0,1
TAS2R10,-0.1013541404,1
LOC440173,-0.0977387014,1
LOC729080,0,1
IZUMO2,0,1
NUDT9P1,0.1722109991,1
ARPP21,0,1
SOST,0,1
EBF1,0,1
ATP2B2,-0.0447319424,1
UTS2,0,1
CECR2,0,1
LOC728040,0,1
LAMC3,0,1
SNORA49,-0.0373094419,1
SLC22A10,0,1
SLC30A2,-0.1532810515,1
IP6K3,-0.45402743,0.4696982801
FAM182B,-0.0590892183,1
H1FNT,0.0195616224,1
ABCA8,0.0903601693,1
EFCAB6-AS1,0.036392744,1
LOC644248,0.0148788935,1
ZSCAN5B,0,1
OTOL1,0,1
MIR450B,0,1
LINC00521,-0.0192650081,1
PDZD3,-0.0750006719,1
SLC4A1,-0.1673675014,1
SSTR1,0,1
ITGAX,0.0456635501,1
MRS2P2,0,1
SNORD114-26,0,1
MYBPC3,-0.0447319424,1
IL21R-AS1,-0.1673675014,1
TREH,-0.1823904175,1
FGD5P1,0.0456635501,1
FPR2,0.0450816015,1
TEX26-AS1,0,1
COX8C,0,1
RPL13AP6,0.0450816015,1
OPN1SW,0,1
TM6SF2,0.036392744,1
LOC284798,0,1
LOC255654,0.0456635501,1
CACNA1G-AS1,0,1
NCAN,0,1
DLGAP2,0,1
CASQ1,0,1
MIR758,0,1
MIR642A,0.2062135703,1
LINC00525,0,1
HTR3A,-0.1258518427,1
CCDC173,0.0028253152,1
SLC22A2,0,1
CYP26C1,0.0456635501,1
HSP90AB4P,-0.0428080716,1
ARL2-SNX15,0,1
C12orf71,0.0249010344,1
BPIFB4,0.0006952273,1
CCR4,0,1
LOC283688,0,1
KRT28,0,1
MAG,0,1
PGC,0,1
LOC349160,0,1
SFTPC,0,1
KRTAP5-1,-0.0779621815,1
KCNV2,0,1
CALCR,0,1
C8orf12,0,1
LINC00293,0,1
CSMD2,0.2288542687,1
CACNA1C,0.0450816015,1
COL20A1,-0.0929384931,1
LOXHD1,0,1
WBSCR28,-0.031239275,1
CLEC12B,0.0661300831,1
UBL4B,0,1
CFHR5,0,1
OR2L1P,0,1
LINC00659,0.0450816015,1
CPA1,0,1
MIR3136,0,1
GIP,-0.0428080716,1
FLJ13197,0.0152840054,1
TEX13A,0.1046301859,1
LHX9,0,1
LINC00202-2,0,1
CASP12,0,1
CTSG,0,1
REM1,0,1
TM4SF18,0,1
RHAG,0,1
FANCD2OS,-0.0447319424,1
RRN3P2,-0.0568665068,1
ANKS1B,-0.0613269069,1
HPN,0,1
KIAA0125,0.0195616224,1
CST8,0.0129244493,1
LINC00347,0,1
GABRG3,0,1
P2RX1,0,1
FASLG,-0.0539589266,1
HPSE2,-0.12409212,1
IGSF9B,0.2037519969,1
LIX1,0,1
ZMAT1,0.1172895737,1
LOC100131320,0,1
LOC255167,0.1560806171,1
MIR146A,0.1676149598,1
RBP3,0,1
LOC641515,-0.1334642546,1
NRXN2,0,1
GIPC3,0,1
KCNN2,0,1
IGFBP1,0,1
REXO1L1,0,1
LOC100131626,-0.1425519852,1
APLNR,0.1393277442,1
DOK2,0.0905003782,1
CELA2A,0,1
MIR4279,0,1
CLCA1,-0.0236434191,1
SNORD116-8,-0.0428080716,1
SLC36A3,0,1
LYPD1,-0.0572182364,1
GDAP1L1,0,1
NDUFAF4P1,0,1
FAM47C,0.1203610952,1
TREML4,0.05209032,1
GNLY,0.0450816015,1
DUSP26,0.036392744,1
CCDC27,0,1
PROK1,0,1
MPPED2,0,1
MIR194-2,0,1
SLN,0,1
MIR125B1,0,1
ART4,0,1
TNFRSF17,0,1
SMTNL2,0,1
MIR4521,0,1
KRT12,0,1
C17orf77,0,1
MIR133A1,0,1
MBD3L1,0,1
VSTM1,0,1
OR6B2,0,1
XCR1,0,1
MIR1324,0,1
ARGFX,0,1
RHO,0,1
FLJ33360,0,1
GPR151,0,1
SCGN,0,1
GLYATL3,0,1
RNU6-71,0,1
CLVS2,0,1
GPR31,0,1
DPY19L2P1,0,1
DLX6-AS1,0,1
FABP9,0,1
FLJ46284,0,1
